timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781692167076,688,HTTP Request,200,OK,Thread Group 1-1,text,true,,6870,135,4,4,https://jsonplaceholder.typicode.com/users,679,0,541
1781692167406,361,HTTP Request,200,OK,Thread Group 1-3,text,true,,6870,135,4,4,https://jsonplaceholder.typicode.com/users,350,0,215
1781692167207,559,HTTP Request,200,OK,Thread Group 1-2,text,true,,6870,135,4,4,https://jsonplaceholder.typicode.com/users,549,0,411
1781692167771,129,HTTP Request,200,OK,Thread Group 1-2,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,105,0,0
1781692167771,131,HTTP Request,200,OK,Thread Group 1-3,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,127,0,0
1781692167771,131,HTTP Request,200,OK,Thread Group 1-1,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,127,0,0
1781692167903,116,HTTP Request,200,OK,Thread Group 1-3,text,true,,6870,135,6,6,https://jsonplaceholder.typicode.com/users,112,0,0
1781692167903,116,HTTP Request,200,OK,Thread Group 1-2,text,true,,6870,135,6,6,https://jsonplaceholder.typicode.com/users,112,0,0
1781692167904,117,HTTP Request,200,OK,Thread Group 1-1,text,true,,6870,135,6,6,https://jsonplaceholder.typicode.com/users,112,0,0
1781692167607,420,HTTP Request,200,OK,Thread Group 1-4,text,true,,6870,135,6,6,https://jsonplaceholder.typicode.com/users,414,0,283
1781692168021,270,HTTP Request,200,OK,Thread Group 1-2,text,true,,6870,135,7,7,https://jsonplaceholder.typicode.com/users,266,0,0
1781692168021,270,HTTP Request,200,OK,Thread Group 1-3,text,true,,6870,135,7,7,https://jsonplaceholder.typicode.com/users,266,0,0
1781692168023,269,HTTP Request,200,OK,Thread Group 1-1,text,true,,6871,135,7,7,https://jsonplaceholder.typicode.com/users,264,0,0
1781692168030,262,HTTP Request,200,OK,Thread Group 1-4,text,true,,6870,135,7,7,https://jsonplaceholder.typicode.com/users,257,0,0
1781692167806,486,HTTP Request,200,OK,Thread Group 1-5,text,true,,6871,135,7,7,https://jsonplaceholder.typicode.com/users,485,0,212
1781692168292,139,HTTP Request,200,OK,Thread Group 1-2,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,137,0,0
1781692168292,140,HTTP Request,200,OK,Thread Group 1-1,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,138,0,0
1781692168293,139,HTTP Request,200,OK,Thread Group 1-5,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,136,0,0
1781692168292,142,HTTP Request,200,OK,Thread Group 1-3,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,139,0,0
1781692168292,142,HTTP Request,200,OK,Thread Group 1-4,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,140,0,0
1781692168006,431,HTTP Request,200,OK,Thread Group 1-6,text,true,,6870,135,8,8,https://jsonplaceholder.typicode.com/users,428,0,293
1781692168434,93,HTTP Request,200,OK,Thread Group 1-5,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,86,0,0
1781692168206,324,HTTP Request,200,OK,Thread Group 1-7,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,323,0,201
1781692168438,126,HTTP Request,200,OK,Thread Group 1-6,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,125,0,0
1781692168436,129,HTTP Request,200,OK,Thread Group 1-4,text,true,,6870,135,5,5,https://jsonplaceholder.typicode.com/users,127,0,0
1781692168531,114,HTTP Request,200,OK,Thread Group 1-7,text,true,,6870,135,6,6,https://jsonplaceholder.typicode.com/users,114,0,0
